timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1732102666214,203,HTTP Request,200,OK,Students 1-2,text,false,Tidy Parser errors: 0 (allowed 0) Tidy Parser warnings: 4 (allowed 0),965,134,5,5,http://quiz-fe-test.hematitecorp.com/#/quizapp,196,0,76
1732102666411,90,HTTP Request,200,OK,Students 1-5,text,false,Tidy Parser errors: 0 (allowed 0) Tidy Parser warnings: 3 (allowed 0),965,134,5,5,http://quiz-fe-test.hematitecorp.com/#/quizapp,90,0,35
1732102666308,109,HTTP Request,200,OK,Students 1-4,text,false,Tidy Parser errors: 0 (allowed 0) Tidy Parser warnings: 4 (allowed 0),965,134,5,5,http://quiz-fe-test.hematitecorp.com/#/quizapp,102,0,36
1732102666218,199,HTTP Request,200,OK,Students 1-3,text,false,Tidy Parser errors: 0 (allowed 0) Tidy Parser warnings: 4 (allowed 0),965,134,5,5,http://quiz-fe-test.hematitecorp.com/#/quizapp,192,0,74
1732102666216,201,HTTP Request,200,OK,Students 1-1,text,false,Tidy Parser errors: 0 (allowed 0) Tidy Parser warnings: 3 (allowed 0),965,134,5,5,http://quiz-fe-test.hematitecorp.com/#/quizapp,194,0,76
1732102666537,99,HTTP Request,200,OK,Students 1-6,text,false,Tidy Parser errors: 0 (allowed 0) Tidy Parser warnings: 3 (allowed 0),965,134,2,2,http://quiz-fe-test.hematitecorp.com/#/quizapp,99,0,50
1732102666607,93,HTTP Request,200,OK,Students 1-7,text,false,Tidy Parser errors: 0 (allowed 0) Tidy Parser warnings: 3 (allowed 0),965,134,1,1,http://quiz-fe-test.hematitecorp.com/#/quizapp,93,0,34
1732102666707,84,HTTP Request,200,OK,Students 1-8,text,false,Tidy Parser errors: 0 (allowed 0) Tidy Parser warnings: 3 (allowed 0),965,134,1,1,http://quiz-fe-test.hematitecorp.com/#/quizapp,84,0,35
1732102666818,91,HTTP Request,200,OK,Students 1-9,text,false,Tidy Parser errors: 0 (allowed 0) Tidy Parser warnings: 3 (allowed 0),965,134,2,2,http://quiz-fe-test.hematitecorp.com/#/quizapp,91,0,41
1732102666905,111,HTTP Request,200,OK,Students 1-10,text,false,Tidy Parser errors: 0 (allowed 0) Tidy Parser warnings: 3 (allowed 0),965,134,1,1,http://quiz-fe-test.hematitecorp.com/#/quizapp,111,0,42
