timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1732085859041,92,HTTP Request,200,OK,Students 1-1,text,false,Tidy Parser errors: 0 (allowed 0) Tidy Parser warnings: 3 (allowed 0),965,134,1,1,http://quiz-fe-test.hematitecorp.com/#/quizapp,92,0,36
1732085859142,85,HTTP Request,200,OK,Students 1-2,text,false,Tidy Parser errors: 0 (allowed 0) Tidy Parser warnings: 3 (allowed 0),965,134,1,1,http://quiz-fe-test.hematitecorp.com/#/quizapp,85,0,36
1732085859240,83,HTTP Request,200,OK,Students 1-3,text,false,Tidy Parser errors: 0 (allowed 0) Tidy Parser warnings: 3 (allowed 0),965,134,1,1,http://quiz-fe-test.hematitecorp.com/#/quizapp,83,0,34
1732085859340,85,HTTP Request,200,OK,Students 1-4,text,false,Tidy Parser errors: 0 (allowed 0) Tidy Parser warnings: 3 (allowed 0),965,134,1,1,http://quiz-fe-test.hematitecorp.com/#/quizapp,85,0,35
1732085859441,84,HTTP Request,200,OK,Students 1-5,text,false,Tidy Parser errors: 0 (allowed 0) Tidy Parser warnings: 3 (allowed 0),965,134,1,1,http://quiz-fe-test.hematitecorp.com/#/quizapp,84,0,36
1732085859541,82,HTTP Request,200,OK,Students 1-6,text,false,Tidy Parser errors: 0 (allowed 0) Tidy Parser warnings: 3 (allowed 0),965,134,1,1,http://quiz-fe-test.hematitecorp.com/#/quizapp,82,0,34
1732085859640,87,HTTP Request,200,OK,Students 1-7,text,false,Tidy Parser errors: 0 (allowed 0) Tidy Parser warnings: 3 (allowed 0),965,134,1,1,http://quiz-fe-test.hematitecorp.com/#/quizapp,87,0,36
1732085859741,82,HTTP Request,200,OK,Students 1-8,text,false,Tidy Parser errors: 0 (allowed 0) Tidy Parser warnings: 3 (allowed 0),965,134,1,1,http://quiz-fe-test.hematitecorp.com/#/quizapp,82,0,35
1732085859841,116,HTTP Request,200,OK,Students 1-9,text,false,Tidy Parser errors: 0 (allowed 0) Tidy Parser warnings: 3 (allowed 0),965,134,2,2,http://quiz-fe-test.hematitecorp.com/#/quizapp,116,0,39
1732085859941,84,HTTP Request,200,OK,Students 1-10,text,false,Tidy Parser errors: 0 (allowed 0) Tidy Parser warnings: 3 (allowed 0),965,134,1,1,http://quiz-fe-test.hematitecorp.com/#/quizapp,84,0,34
1732102368541,216,HTTP Request,200,OK,Students 1-6,text,false,Tidy Parser errors: 0 (allowed 0) Tidy Parser warnings: 4 (allowed 0),965,134,8,8,http://quiz-fe-test.hematitecorp.com/#/quizapp,205,0,46
1732102368254,512,HTTP Request,200,OK,Students 1-3,text,false,Tidy Parser errors: 0 (allowed 0) Tidy Parser warnings: 3 (allowed 0),965,134,8,8,http://quiz-fe-test.hematitecorp.com/#/quizapp,512,0,132
1732102368341,586,HTTP Request,200,OK,Students 1-4,text,false,Tidy Parser errors: 0 (allowed 0) Tidy Parser warnings: 3 (allowed 0),965,134,9,9,http://quiz-fe-test.hematitecorp.com/#/quizapp,586,0,44
1732102368251,506,HTTP Request,200,OK,Students 1-2,text,false,Tidy Parser errors: 0 (allowed 0) Tidy Parser warnings: 3 (allowed 0),965,134,8,8,http://quiz-fe-test.hematitecorp.com/#/quizapp,495,0,128
1732102368644,195,HTTP Request,200,OK,Students 1-7,text,false,Tidy Parser errors: 0 (allowed 0) Tidy Parser warnings: 3 (allowed 0),965,134,8,8,http://quiz-fe-test.hematitecorp.com/#/quizapp,195,0,36
1732102368252,505,HTTP Request,200,OK,Students 1-1,text,false,Tidy Parser errors: 0 (allowed 0) Tidy Parser warnings: 3 (allowed 0),965,134,8,8,http://quiz-fe-test.hematitecorp.com/#/quizapp,494,0,148
1732102368438,561,HTTP Request,200,OK,Students 1-5,text,false,Tidy Parser errors: 0 (allowed 0) Tidy Parser warnings: 3 (allowed 0),965,134,5,5,http://quiz-fe-test.hematitecorp.com/#/quizapp,561,0,36
1732102368748,288,HTTP Request,200,OK,Students 1-8,text,false,Tidy Parser errors: 0 (allowed 0) Tidy Parser warnings: 3 (allowed 0),965,134,3,3,http://quiz-fe-test.hematitecorp.com/#/quizapp,288,0,53
1732102368868,189,HTTP Request,200,OK,Students 1-9,text,false,Tidy Parser errors: 0 (allowed 0) Tidy Parser warnings: 3 (allowed 0),965,134,2,2,http://quiz-fe-test.hematitecorp.com/#/quizapp,189,0,38
1732102368941,127,HTTP Request,200,OK,Students 1-10,text,false,Tidy Parser errors: 0 (allowed 0) Tidy Parser warnings: 3 (allowed 0),965,134,2,2,http://quiz-fe-test.hematitecorp.com/#/quizapp,127,0,44
1732102666214,203,HTTP Request,200,OK,Students 1-2,text,false,Tidy Parser errors: 0 (allowed 0) Tidy Parser warnings: 4 (allowed 0),965,134,5,5,http://quiz-fe-test.hematitecorp.com/#/quizapp,196,0,76
1732102666411,90,HTTP Request,200,OK,Students 1-5,text,false,Tidy Parser errors: 0 (allowed 0) Tidy Parser warnings: 3 (allowed 0),965,134,5,5,http://quiz-fe-test.hematitecorp.com/#/quizapp,90,0,35
1732102666308,109,HTTP Request,200,OK,Students 1-4,text,false,Tidy Parser errors: 0 (allowed 0) Tidy Parser warnings: 4 (allowed 0),965,134,5,5,http://quiz-fe-test.hematitecorp.com/#/quizapp,102,0,36
1732102666218,199,HTTP Request,200,OK,Students 1-3,text,false,Tidy Parser errors: 0 (allowed 0) Tidy Parser warnings: 4 (allowed 0),965,134,5,5,http://quiz-fe-test.hematitecorp.com/#/quizapp,192,0,74
1732102666216,201,HTTP Request,200,OK,Students 1-1,text,false,Tidy Parser errors: 0 (allowed 0) Tidy Parser warnings: 3 (allowed 0),965,134,5,5,http://quiz-fe-test.hematitecorp.com/#/quizapp,194,0,76
1732102666537,99,HTTP Request,200,OK,Students 1-6,text,false,Tidy Parser errors: 0 (allowed 0) Tidy Parser warnings: 3 (allowed 0),965,134,2,2,http://quiz-fe-test.hematitecorp.com/#/quizapp,99,0,50
1732102666607,93,HTTP Request,200,OK,Students 1-7,text,false,Tidy Parser errors: 0 (allowed 0) Tidy Parser warnings: 3 (allowed 0),965,134,1,1,http://quiz-fe-test.hematitecorp.com/#/quizapp,93,0,34
1732102666707,84,HTTP Request,200,OK,Students 1-8,text,false,Tidy Parser errors: 0 (allowed 0) Tidy Parser warnings: 3 (allowed 0),965,134,1,1,http://quiz-fe-test.hematitecorp.com/#/quizapp,84,0,35
1732102666818,91,HTTP Request,200,OK,Students 1-9,text,false,Tidy Parser errors: 0 (allowed 0) Tidy Parser warnings: 3 (allowed 0),965,134,2,2,http://quiz-fe-test.hematitecorp.com/#/quizapp,91,0,41
1732102666905,111,HTTP Request,200,OK,Students 1-10,text,false,Tidy Parser errors: 0 (allowed 0) Tidy Parser warnings: 3 (allowed 0),965,134,1,1,http://quiz-fe-test.hematitecorp.com/#/quizapp,111,0,42
