timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1732085834922,103,HTTP Request,200,OK,Students 1-1,text,false,Tidy Parser errors: 0 (allowed 0) Tidy Parser warnings: 3 (allowed 0),965,134,1,1,http://quiz-fe-test.hematitecorp.com/#/quizapp,103,0,48
1732085835028,97,HTTP Request,200,OK,Students 1-2,text,false,Tidy Parser errors: 0 (allowed 0) Tidy Parser warnings: 3 (allowed 0),965,134,2,2,http://quiz-fe-test.hematitecorp.com/#/quizapp,97,0,47
1732085835121,86,HTTP Request,200,OK,Students 1-3,text,false,Tidy Parser errors: 0 (allowed 0) Tidy Parser warnings: 3 (allowed 0),965,134,1,1,http://quiz-fe-test.hematitecorp.com/#/quizapp,86,0,34
1732085835221,85,HTTP Request,200,OK,Students 1-4,text,false,Tidy Parser errors: 0 (allowed 0) Tidy Parser warnings: 3 (allowed 0),965,134,1,1,http://quiz-fe-test.hematitecorp.com/#/quizapp,85,0,36
1732085835321,86,HTTP Request,200,OK,Students 1-5,text,false,Tidy Parser errors: 0 (allowed 0) Tidy Parser warnings: 3 (allowed 0),965,134,1,1,http://quiz-fe-test.hematitecorp.com/#/quizapp,86,0,37
1732085835422,90,HTTP Request,200,OK,Students 1-6,text,false,Tidy Parser errors: 0 (allowed 0) Tidy Parser warnings: 3 (allowed 0),965,134,1,1,http://quiz-fe-test.hematitecorp.com/#/quizapp,90,0,37
1732085835523,86,HTTP Request,200,OK,Students 1-7,text,false,Tidy Parser errors: 0 (allowed 0) Tidy Parser warnings: 3 (allowed 0),965,134,1,1,http://quiz-fe-test.hematitecorp.com/#/quizapp,86,0,36
1732085835621,109,HTTP Request,200,OK,Students 1-8,text,false,Tidy Parser errors: 0 (allowed 0) Tidy Parser warnings: 3 (allowed 0),965,134,2,2,http://quiz-fe-test.hematitecorp.com/#/quizapp,109,0,36
1732085835721,88,HTTP Request,200,OK,Students 1-9,text,false,Tidy Parser errors: 0 (allowed 0) Tidy Parser warnings: 3 (allowed 0),965,134,1,1,http://quiz-fe-test.hematitecorp.com/#/quizapp,88,0,37
1732085835821,83,HTTP Request,200,OK,Students 1-10,text,false,Tidy Parser errors: 0 (allowed 0) Tidy Parser warnings: 3 (allowed 0),965,134,1,1,http://quiz-fe-test.hematitecorp.com/#/quizapp,83,0,35
